NAME,S1901_C01_001E,S1901_C01_013E
ZCTA5 20152,11076,199851
ZCTA5 78058,327,199381
ZCTA5 94019,7362,199287
ZCTA5 94040,14408,199021
ZCTA5 10570,4060,198979
ZCTA5 55439,3506,198874
ZCTA5 11201,29262,198854
ZCTA5 07640,1746,198710
ZCTA5 98006,13030,198704
ZCTA5 10590,2665,198694
ZCTA5 53097,1975,198612
ZCTA5 94929,118,198446
ZCTA5 37069,6983,198443
ZCTA5 11771,3647,197878
ZCTA5 19317,3659,197674
ZCTA5 10527,278,197365
ZCTA5 60601,8046,197328
ZCTA5 11215,28714,197323
ZCTA5 20812,109,197199
ZCTA5 02067,6436,196994
ZCTA5 07030,24983,196772
ZCTA5 19087,11749,196760
ZCTA5 10522,3672,196619
ZCTA5 91361,8211,196554
ZCTA5 03856,617,196404
ZCTA5 07702,1374,196357
ZCTA5 06896,3401,196317
ZCTA5 66220,2674,196281
ZCTA5 84060,3171,196102
ZCTA5 11109,2777,195918
ZCTA5 22664,3765,195680
ZCTA5 11930,300,195593
ZCTA5 22301,5602,195521
ZCTA5 60010,16683,195336
ZCTA5 85262,6034,195176
ZCTA5 15367,3058,195072
ZCTA5 23887,95,195042
ZCTA5 94041,5949,194946
ZCTA5 66206,4540,194876
ZCTA5 64113,4702,194853
ZCTA5 01810,12926,194737
ZCTA5 35213,5756,194700
ZCTA5 01532,5444,194671
ZCTA5 68517,176,194594
ZCTA5 48306,9522,194530
ZCTA5 97034,8155,194490
ZCTA5 55042,3478,194459
ZCTA5 33146,4841,194454
ZCTA5 21723,245,194181
ZCTA5 90275,15223,194050
ZCTA5 34102,5743,194000
ZCTA5 48304,6309,193877
ZCTA5 68010,18,193828
ZCTA5 38139,5635,193826
ZCTA5 08559,2166,193799
ZCTA5 11559,2427,193721
ZCTA5 07624,2632,193718
ZCTA5 95129,13956,193669
ZCTA5 94611,16854,193602
ZCTA5 92127,15300,193601
ZCTA5 02478,9846,193502
ZCTA5 95124,17445,193498
ZCTA5 02142,1943,193473
ZCTA5 10913,1533,193394
ZCTA5 20814,13171,193329
ZCTA5 04650,183,193233
ZCTA5 02199,914,193135
ZCTA5 06371,4061,193063
ZCTA5 59081,34,192968
ZCTA5 94588,12616,192945
ZCTA5 95135,7735,192944
ZCTA5 06414,48,192835
ZCTA5 94555,11463,192815
ZCTA5 02061,3519,192810
ZCTA5 89519,3684,192479
ZCTA5 01467,147,192459
ZCTA5 94118,17508,192308
ZCTA5 96821,6470,192296
ZCTA5 92091,580,192201
ZCTA5 58755,73,192156
ZCTA5 22947,1902,191927
ZCTA5 07853,4272,191896
ZCTA5 10987,1376,191883
ZCTA5 80108,9555,191820
ZCTA5 30305,13088,191699
ZCTA5 38569,66,191636
ZCTA5 19010,7378,191504
ZCTA5 18938,6044,191503
ZCTA5 60614,33402,191363
ZCTA5 99516,7117,191131
ZCTA5 78739,6788,191001
ZCTA5 10708,9163,190835
ZCTA5 18923,405,190710
ZCTA5 85255,18074,190676
ZCTA5 63038,2561,190560
ZCTA5 94404,13818,190559
ZCTA5 21146,9556,190531
ZCTA5 37215,10541,190503
ZCTA5 75078,10001,190429
ZCTA5 66221,5976,190401
ZCTA5 07040,8110,190383
ZCTA5 23103,2262,190340
ZCTA5 02445,8675,190159
ZCTA5 11596,3542,190103
ZCTA5 23113,9448,189994
ZCTA5 91105,5410,189980
ZCTA5 75022,8760,189841
ZCTA5 20841,3474,189809
ZCTA5 01949,3062,189768
ZCTA5 03586,251,189682
ZCTA5 02630,750,189678
ZCTA5 48025,5679,189586
ZCTA5 94043,12860,189539
ZCTA5 11509,742,189507
ZCTA5 11557,2658,189333
ZCTA5 37027,20608,189233
ZCTA5 07960,17712,189226
ZCTA5 98033,16701,189220
ZCTA5 20171,17278,188933
ZCTA5 99023,199,188933
ZCTA5 94574,3931,188872
ZCTA5 11932,445,188800
ZCTA5 08801,2563,188785
ZCTA5 07711,574,188648
ZCTA5 95420,91,188578
ZCTA5 75230,13459,188452
ZCTA5 49636,212,188420
ZCTA5 21042,14474,188415
ZCTA5 11743,15250,188349
ZCTA5 89411,391,188325
ZCTA5 93563,99,188239
ZCTA5 22046,7032,188017
ZCTA5 01945,8126,187953
ZCTA5 07023,2604,187945
ZCTA5 33483,6476,187841
ZCTA5 10018,4321,187702
ZCTA5 01922,1163,187605
ZCTA5 03847,229,187543
ZCTA5 60175,8541,187489
ZCTA5 60564,13926,187462
ZCTA5 46077,10829,187445
ZCTA5 07750,1485,187320
ZCTA5 08241,442,187261
ZCTA5 06001,7278,187080
ZCTA5 19355,10090,187043
ZCTA5 08553,234,186856
ZCTA5 07446,5346,186841
ZCTA5 92673,9959,186832
ZCTA5 48374,5240,186617
ZCTA5 11768,7689,186606
ZCTA5 87005,86,186451
ZCTA5 97221,4997,186288
ZCTA5 08853,1885,186262
ZCTA5 78703,9478,186195
ZCTA5 58625,90,186186
ZCTA5 94060,346,186177
ZCTA5 20895,6900,186054
ZCTA5 02806,5854,186023
ZCTA5 98005,8590,186020
ZCTA5 66850,102,185825
ZCTA5 06117,5663,185763
ZCTA5 82944,117,185732
ZCTA5 95054,8136,185715
ZCTA5 07069,2117,185636
ZCTA5 63105,6621,185593
ZCTA5 21032,2937,185380
ZCTA5 02725,959,185370
ZCTA5 18902,7686,185218
ZCTA5 84098,6988,185216
ZCTA5 21104,1964,185170
ZCTA5 20833,2408,185146
ZCTA5 92210,2718,185080
ZCTA5 76820,53,185038
ZCTA5 92037,16657,185009
ZCTA5 18925,2412,185003
ZCTA5 07645,2902,184907
ZCTA5 03768,650,184852
ZCTA5 30342,13580,184846
ZCTA5 94110,27069,184753
ZCTA5 06090,324,184729
ZCTA5 94085,8484,184672
ZCTA5 92060,119,184656
ZCTA5 19333,2787,184554
ZCTA5 03870,2180,184550
ZCTA5 10986,550,184493
ZCTA5 34134,7772,184431
ZCTA5 03227,608,184403
ZCTA5 11803,10076,184400
ZCTA5 78067,223,184288
ZCTA5 55347,11496,184281
ZCTA5 93923,5375,184206
ZCTA5 20158,1558,184182
ZCTA5 50061,858,184076
ZCTA5 07649,2672,184068
ZCTA5 34228,3939,184056
ZCTA5 10017,9858,184005
ZCTA5 01985,1720,183885
ZCTA5 66209,8569,183869
ZCTA5 48168,8486,183828
ZCTA5 07626,2917,183753
ZCTA5 94502,5037,183523
ZCTA5 77056,11597,183393
ZCTA5 77441,3795,183309
ZCTA5 07933,989,183242
ZCTA5 94303,14360,183192
ZCTA5 07302,23261,183174
ZCTA5 95051,21613,183107
ZCTA5 63141,8536,183050
ZCTA5 02186,8656,183000
ZCTA5 07751,6595,182960
ZCTA5 94583,13044,182899
ZCTA5 07675,9697,182843
ZCTA5 11960,346,182810
ZCTA5 10594,1641,182791
ZCTA5 75093,19566,182662
ZCTA5 21662,191,182623
ZCTA5 11217,18627,182618
ZCTA5 08202,812,182563
ZCTA5 60047,14187,182373
ZCTA5 10543,7272,182293
ZCTA5 84329,41,182107
ZCTA5 01740,1777,182013
ZCTA5 94111,2218,181880
ZCTA5 95125,21335,181865
ZCTA5 20141,2335,181814
ZCTA5 20008,15814,181804
ZCTA5 08551,1979,181795
ZCTA5 94403,16506,181768
ZCTA5 77059,5868,181700
ZCTA5 10016,29005,181643
ZCTA5 85266,5759,181640
ZCTA5 94550,18335,181637
ZCTA5 02837,1556,181598
ZCTA5 08073,40,181395
ZCTA5 77094,3991,181372
ZCTA5 64655,85,181199
ZCTA5 10917,492,181181
ZCTA5 34242,3939,181125
ZCTA5 94517,4467,181019
ZCTA5 57767,92,180977
ZCTA5 10012,12574,180973
ZCTA5 95837,104,180953
ZCTA5 60069,3528,180587
ZCTA5 80111,12412,180231
ZCTA5 58843,212,180227
ZCTA5 55386,2840,180128
ZCTA5 22307,4484,180087
ZCTA5 57232,172,180064
ZCTA5 20617,255,180014
ZCTA5 20882,4611,179961
ZCTA5 06752,730,179892
ZCTA5 92887,6746,179874
ZCTA5 01730,5286,179793
ZCTA5 02056,3116,179735
ZCTA5 48070,2339,179658
ZCTA5 11937,6752,179537
ZCTA5 95043,290,179453
ZCTA5 56659,40,179450
ZCTA5 11023,2964,179424
ZCTA5 21714,47,179355
ZCTA5 07738,2223,179332
ZCTA5 94086,19415,179331
ZCTA5 12504,70,179156
ZCTA5 60654,13181,179014
ZCTA5 02032,1412,178944
ZCTA5 10983,1846,178863
ZCTA5 68527,293,178837
ZCTA5 07869,9024,178821
ZCTA5 02332,5800,178657
ZCTA5 15479,905,178635
ZCTA5 30306,11453,178625
ZCTA5 01984,1361,178589
ZCTA5 03844,826,178577
ZCTA5 90067,1501,178513
ZCTA5 18929,3408,178478
ZCTA5 08730,1690,178465
ZCTA5 19350,4136,178426
ZCTA5 32082,11719,178335
ZCTA5 08833,3293,178274
ZCTA5 20175,12342,178260
ZCTA5 11804,1583,178258
ZCTA5 33629,10441,178207
ZCTA5 19707,5937,178168
ZCTA5 20105,8281,178162
ZCTA5 08033,6003,178029
ZCTA5 19102,3365,177851
ZCTA5 20194,5391,177821
ZCTA5 10019,27340,177809
ZCTA5 60606,2327,177715
ZCTA5 02066,7461,177695
ZCTA5 92009,16258,177632
ZCTA5 98940,192,177552
ZCTA5 94568,19065,177533
ZCTA5 11507,2419,177436
ZCTA5 20004,1323,177415
ZCTA5 48323,6051,177400
ZCTA5 95830,211,177364
ZCTA5 10560,1692,177313
ZCTA5 76248,13647,177277
ZCTA5 84063,65,177114
ZCTA5 93908,4279,177083
ZCTA5 22314,18205,177075
ZCTA5 18940,11515,176878
ZCTA5 89451,4015,176858
